Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"(warm up traverse)","Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/107483026/warm-up-traverse,2.3,-1,Boulder,V0+,1,,39.76909,-75.55829
"Grey Streak (or Temptation?)","Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/116634608/grey-streak-or-temptation,2.8,-1,"TR, Boulder","5.10d V2",1,20,39.76909,-75.55829
Rambo,"Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/118177603/rambo,3.5,-1,"TR, Boulder","5.12a V4",1,20,39.76909,-75.55829
"A Bit Tall to Fall","Heat Index Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/120814117/a-bit-tall-to-fall,2.0,-1,Boulder,"V0 PG13",1,18,39.76818,-75.5745
"Heat Index 110","Heat Index Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/115342124/heat-index-110,1.5,-1,Boulder,V0,1,20,39.76818,-75.5745
"Martha Stewart's Donut Fetish","Heat Index Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/120814127/martha-stewarts-donut-fetish,2.5,-1,Boulder,"V0 PG13",1,18,39.76818,-75.5745
"Chim Chiminey","Heat Index Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/115342153/chim-chiminey,2.0,-1,Boulder,V0,1,25,39.76818,-75.5745
"A Balance of Question","Heat Index Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/115342135/a-balance-of-question,2.0,-1,Boulder,V0+,1,25,39.76818,-75.5745
"Paha Sapa","Heat Index Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/115342183/paha-sapa,0.0,-1,Boulder,V0+,1,8,39.76818,-75.5745
Ransom,"Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/116662687/ransom,2.0,-1,Boulder,V0,1,11,39.76852,-75.57409
"Faint Whimper","Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/120408763/faint-whimper,2.0,-1,"TR, Boulder","V0 PG13",1,18,39.76852,-75.57409
"Failed Negotiations","Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/120408740/failed-negotiations,2.0,-1,"TR, Boulder","V0-1 R",1,15,39.76852,-75.57409
"Bad Ideas","Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/120408751/bad-ideas,2.0,-1,"TR, Boulder","V0-1 R",1,15,39.76852,-75.57409
"Winter Seasoning","Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/118034944/winter-seasoning,3.2,-1,Boulder,V1,1,12,39.76852,-75.57409
"Scar Face","Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/119869104/scar-face,2.0,-1,Boulder,V1,1,10,39.76852,-75.57409
"Lithe Wire","Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/118034973/lithe-wire,2.0,-1,Boulder,V2-,1,12,39.76852,-75.57409
Hostage,"Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/116662658/hostage,3.5,-1,Boulder,V3,1,16,39.76852,-75.57409
Arete,"Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/119927365/arete,4.0,-1,Boulder,V3+,1,10,39.76852,-75.57409
"Over the Hump day","Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/119869134/over-the-hump-day,2.0,-1,Boulder,V4,1,10,39.76852,-75.57409
"Hump extension","Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/120216849/hump-extension,3.0,-1,Boulder,V4+,1,,39.76852,-75.57409
"The Starr Report","Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/119869093/the-starr-report,3.0,-1,Boulder,V5,1,10,39.76852,-75.57409
"Easy Street/downclimb","Spacklehead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/118035034/easy-streetdownclimb,2.0,-1,Boulder,V0,1,12,39.76826,-75.57481
Spackleft,"Spacklehead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/120823178/spackleft,3.0,-1,Boulder,V1,1,,39.76826,-75.57481
Spacklehead,"Spacklehead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/116547433/spacklehead,2.8,-1,Boulder,V2,1,8,39.76826,-75.57481
"Positive Contact","Spacklehead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/116547493/positive-contact,2.0,-1,Boulder,V2+,1,8,39.76826,-75.57481
"Stache Traverse","Spacklehead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/116547527/stache-traverse,3.0,-1,Boulder,V3,1,15,39.76826,-75.57481
"Movin' to CDH","Spacklehead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/118069468/movin-to-cdh,4.0,-1,Boulder,"V3 PG13",1,18,39.76826,-75.57481
"Spacklehead direct","Spacklehead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/120103706/spacklehead-direct,3.0,-1,Boulder,V4+,1,10,39.76826,-75.57481
"Warm Me Up","Black Widow Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/121962058/warm-me-up,3.0,-1,Boulder,V-easy,1,12,39.76835,-75.57419
"Balancing Act","Black Widow Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/121962095/balancing-act,3.0,-1,Boulder,V1-,1,11,39.76835,-75.57419
"Blood Tax","Black Widow Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/116607263/blood-tax,2.4,-1,Boulder,V2+,1,8,39.76835,-75.57419
"The devil is in the details","Black Widow Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/122381512/the-devil-is-in-the-details,3.0,-1,Boulder,V7,1,15,39.76835,-75.57419
Backboard,"Scattered Small Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/118035008/backboard,3.0,-1,Boulder,V0,1,8,39.76831,-75.57451
Windome,"Scattered Small Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/120659218/windome,2.0,-1,Boulder,V1,1,10,39.76831,-75.57451
"Black Friday","Scattered Small Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/118049717/black-friday,2.0,-1,Boulder,V1,1,8,39.76831,-75.57451
"Backboard SDS","Scattered Small Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/120814151/backboard-sds,3.5,-1,Boulder,V1+,1,10,39.76831,-75.57451
"Air Delaware","Scattered Small Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/118118649/air-delaware,2.0,-1,Boulder,V2-3,1,10,39.76831,-75.57451
Flapper,"Scattered Small Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/118118524/flapper,3.0,-1,Boulder,V3-4,1,10,39.76831,-75.57451
"Wagging the Dog","Scattered Small Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/119822702/wagging-the-dog,3.0,-1,Boulder,V4,1,10,39.76831,-75.57451
"Tree Route","Makeout Cave Cluster > Rockford Park > Delaware",https://www.mountainproject.com/route/118048848/tree-route,1.0,-1,Boulder,V0,1,8,39.76833,-75.57495
Powerball,"Makeout Cave Cluster > Rockford Park > Delaware",https://www.mountainproject.com/route/118048780/powerball,3.0,-1,Boulder,V2,1,12,39.76833,-75.57495
"Dollar Store Bong","Lower Tier > Rockford Park > Delaware",https://www.mountainproject.com/route/120676275/dollar-store-bong,1.0,-1,Boulder,V0-,1,12,39.76853,-75.5748
"Corporate Blues","Lower Tier > Rockford Park > Delaware",https://www.mountainproject.com/route/120728025/corporate-blues,2.0,-1,Boulder,V1-,1,10,39.76853,-75.5748
"Creative Mind","Lower Tier > Rockford Park > Delaware",https://www.mountainproject.com/route/120728066/creative-mind,1.5,-1,Boulder,V1,1,10,39.76853,-75.5748
Homesteader,"Lower Tier > Rockford Park > Delaware",https://www.mountainproject.com/route/120728119/homesteader,2.0,-1,Boulder,V1,1,10,39.76853,-75.5748
"Mama the Shama","Lower Tier > Rockford Park > Delaware",https://www.mountainproject.com/route/120676210/mama-the-shama,2.5,-1,Boulder,V1,1,12,39.76853,-75.5748
"Non-Phallic Eggplant","Lower Tier > Rockford Park > Delaware",https://www.mountainproject.com/route/121324970/non-phallic-eggplant,2.0,-1,Boulder,V1,1,10,39.76853,-75.5748
"Roughed the Butt","Lower Tier > Rockford Park > Delaware",https://www.mountainproject.com/route/120728087/roughed-the-butt,3.5,-1,Boulder,V2,1,12,39.76853,-75.5748
"Truck Nuts on a Prius","Lower Tier > Rockford Park > Delaware",https://www.mountainproject.com/route/121324782/truck-nuts-on-a-prius,3.0,-1,Boulder,V2,1,25,39.76853,-75.5748
Flex-a-flake,"Lower Tier > Rockford Park > Delaware",https://www.mountainproject.com/route/120728029/flex-a-flake,3.0,-1,Boulder,V2+,1,12,39.76853,-75.5748
"Beneath the Cheeks","Lower Tier > Rockford Park > Delaware",https://www.mountainproject.com/route/120728115/beneath-the-cheeks,3.0,-1,Boulder,V3-4,1,12,39.76853,-75.5748
"Rib Cage","Rockwood Park / Greenway Trail > Delaware",https://www.mountainproject.com/route/118940517/rib-cage,2.0,-1,Boulder,"V0-1 PG13",2,8,39.77404,-75.51579
"Front and Center","Front and Center Boulder > Brandywine Park > Delaware",https://www.mountainproject.com/route/120814177/front-and-center,2.5,-1,Boulder,V1,1,10,39.75675,-75.55106
"Not the Backboard","Front and Center Boulder > Brandywine Park > Delaware",https://www.mountainproject.com/route/120814210/not-the-backboard,3.0,-1,Boulder,V1,1,8,39.75675,-75.55106
"Good Dirty Fun","Front and Center Boulder > Brandywine Park > Delaware",https://www.mountainproject.com/route/120814193/good-dirty-fun,3.0,-1,Boulder,V2,1,10,39.75675,-75.55106
